client_id,date,amount,payment_status
CL0001,2023-01-01,46279.11089580093,Paid
CL0001,2023-01-31,46279.11089580093,Missing
CL0001,2023-03-02,46279.11089580093,Paid
CL0001,2023-04-01,46279.11089580093,Paid
CL0001,2023-05-01,46279.11089580093,Paid
CL0001,2023-05-31,46279.11089580093,Paid
CL0001,2023-06-30,46279.11089580093,Paid
CL0001,2023-07-30,46279.11089580093,Missing
CL0001,2023-08-29,46279.11089580093,Paid
CL0001,2023-09-28,46279.11089580093,Paid
CL0001,2023-10-28,46279.11089580093,Paid
CL0001,2023-11-27,46279.11089580093,Paid
CL0001,2023-12-27,46279.11089580093,Missing
CL0001,2024-01-26,46279.11089580093,Paid
CL0001,2024-02-25,46279.11089580093,Paid
CL0001,2024-03-26,46279.11089580093,Paid
CL0001,2024-04-25,46279.11089580093,Paid
CL0001,2024-05-25,46279.11089580093,Paid
CL0001,2024-06-24,46279.11089580093,Paid
CL0001,2024-07-24,46279.11089580093,Missing
CL0001,2024-08-23,46279.11089580093,Paid
CL0001,2024-09-22,46279.11089580093,Paid
CL0001,2024-10-22,46279.11089580093,Paid
CL0001,2024-11-21,46279.11089580093,Paid
CL0001,2024-12-21,46279.11089580093,Paid
CL0001,2025-01-20,46279.11089580093,Missing
CL0001,2025-02-19,46279.11089580093,Paid
CL0001,2025-03-21,46279.11089580093,Paid
CL0001,2025-04-20,46279.11089580093,Paid
CL0001,2025-05-20,46279.11089580093,Paid
CL0001,2025-06-19,46279.11089580093,Paid
CL0001,2025-07-19,46279.11089580093,Paid
CL0001,2025-08-18,46279.11089580093,Missing
CL0001,2025-09-17,46279.11089580093,Paid
CL0001,2025-10-17,46279.11089580093,Paid
CL0001,2025-11-16,46279.11089580093,Paid
CL0002,2023-01-01,11156.838391353263,Paid
CL0002,2023-01-31,11156.838391353263,Paid
CL0002,2023-03-02,11156.838391353263,Paid
CL0002,2023-04-01,11156.838391353263,Paid
CL0002,2023-05-01,11156.838391353263,Paid
CL0002,2023-05-31,11156.838391353263,Paid
CL0002,2023-06-30,11156.838391353263,Paid
CL0002,2023-07-30,11156.838391353263,Paid
CL0002,2023-08-29,11156.838391353263,Paid
